date,away_team_id,away_goals,home_team_id,home_goals,length_of_game_min,updated_at
2023-10-10,Chicago Blackhawks,4.0,Pittsburgh Penguins,2.0,154.0,2024
2023-10-10,Nashville Predators,3.0,Tampa Bay Lightning,5.0,153.0,2024
2023-10-10,Seattle Kraken,1.0,Vegas Golden Knights,4.0,142.0,2024
2023-10-11,Chicago Blackhawks,1.0,Boston Bruins,3.0,149.0,2024
2023-10-11,Ottawa Senators,3.0,Carolina Hurricanes,5.0,153.0,2024
2023-10-11,Winnipeg Jets,3.0,Calgary Flames,5.0,152.0,2024
2023-10-11,Colorado Avalanche,5.0,Los Angeles Kings,2.0,157.0,2024
2023-10-11,Montreal Canadiens,5.0,Toronto Maple Leafs,6.0,166.0,2024
2023-10-11,Edmonton Oilers,1.0,Vancouver Canucks,8.0,153.0,2024
2023-10-12,New York Rangers,5.0,Buffalo Sabres,1.0,146.0,2024
2023-10-12,Philadelphia Flyers,4.0,Columbus Blue Jackets,2.0,146.0,2024
2023-10-12,St. Louis Blues,1.0,Dallas Stars,2.0,160.0,2024
2023-10-12,Florida Panthers,0.0,Minnesota Wild,2.0,157.0,2024
2023-10-12,Detroit Red Wings,3.0,New Jersey Devils,4.0,149.0,2024
2023-10-12,Seattle Kraken,0.0,Nashville Predators,3.0,141.0,2024
2023-10-12,Vegas Golden Knights,4.0,San Jose Sharks,1.0,148.0,2024
2023-10-13,Arizona Coyotes,4.0,New Jersey Devils,3.0,163.0,2024
2023-10-13,Pittsburgh Penguins,4.0,Washington Capitals,0.0,154.0,2024
2023-10-14,Nashville Predators,2.0,Boston Bruins,3.0,153.0,2024
2023-10-14,New York Rangers,3.0,Columbus Blue Jackets,5.0,154.0,2024
2023-10-14,Tampa Bay Lightning,4.0,Detroit Red Wings,6.0,148.0,2024
2023-10-14,Vancouver Canucks,4.0,Edmonton Oilers,3.0,150.0,2024
2023-10-14,Carolina Hurricanes,6.0,Los Angeles Kings,5.0,177.0,2024
2023-10-14,Chicago Blackhawks,2.0,Montreal Canadiens,3.0,146.0,2024
2023-10-14,Buffalo Sabres,2.0,New York Islanders,3.0,149.0,2024
2023-10-14,Philadelphia Flyers,2.0,Ottawa Senators,5.0,150.0,2024
2023-10-14,Calgary Flames,2.0,Pittsburgh Penguins,5.0,150.0,2024
2023-10-14,Colorado Avalanche,2.0,San Jose Sharks,1.0,166.0,2024
2023-10-14,Seattle Kraken,1.0,St. Louis Blues,2.0,153.0,2024
2023-10-14,Minnesota Wild,4.0,Toronto Maple Leafs,7.0,156.0,2024
2023-10-14,Anaheim Ducks,1.0,Vegas Golden Knights,4.0,155.0,2024
2023-10-14,Florida Panthers,4.0,Winnipeg Jets,6.0,152.0,2024
2023-10-15,Carolina Hurricanes,3.0,Anaheim Ducks,6.0,152.0,2024
2023-10-15,Tampa Bay Lightning,2.0,Ottawa Senators,5.0,147.0,2024
2023-10-16,Detroit Red Wings,4.0,Columbus Blue Jackets,0.0,145.0,2024
2023-10-16,Florida Panthers,4.0,New Jersey Devils,3.0,150.0,2024
2023-10-16,Arizona Coyotes,1.0,New York Rangers,2.0,149.0,2024
2023-10-16,Chicago Blackhawks,4.0,Toronto Maple Leafs,1.0,157.0,2024
2023-10-16,Calgary Flames,2.0,Washington Capitals,3.0,163.0,2024
2023-10-17,Tampa Bay Lightning,2.0,Buffalo Sabres,3.0,147.0,2024
2023-10-17,Minnesota Wild,5.0,Montreal Canadiens,2.0,156.0,2024
2023-10-17,Edmonton Oilers,6.0,Nashville Predators,1.0,147.0,2024
2023-10-17,Arizona Coyotes,0.0,New York Islanders,1.0,142.0,2024
2023-10-17,Vancouver Canucks,0.0,Philadelphia Flyers,2.0,148.0,2024
2023-10-17,Colorado Avalanche,4.0,Seattle Kraken,1.0,155.0,2024
2023-10-17,Carolina Hurricanes,6.0,San Jose Sharks,3.0,153.0,2024
2023-10-17,Dallas Stars,2.0,Vegas Golden Knights,3.0,167.0,2024
2023-10-17,Los Angeles Kings,5.0,Winnipeg Jets,1.0,144.0,2024
2023-10-18,Pittsburgh Penguins,3.0,Detroit Red Wings,6.0,151.0,2024
2023-10-18,Washington Capitals,1.0,Ottawa Senators,6.0,151.0,2024
2023-10-19,Dallas Stars,3.0,Anaheim Ducks,2.0,143.0,2024
2023-10-19,Calgary Flames,4.0,Buffalo Sabres,3.0,154.0,2024
2023-10-19,Chicago Blackhawks,0.0,Colorado Avalanche,4.0,144.0,2024
2023-10-19,Toronto Maple Leafs,1.0,Florida Panthers,3.0,150.0,2024
2023-10-19,Los Angeles Kings,7.0,Minnesota Wild,3.0,155.0,2024
2023-10-19,Nashville Predators,4.0,New York Rangers,1.0,144.0,2024
2023-10-19,Edmonton Oilers,1.0,Philadelphia Flyers,4.0,149.0,2024
2023-10-19,Carolina Hurricanes,4.0,Seattle Kraken,7.0,156.0,2024
2023-10-19,Boston Bruins,3.0,San Jose Sharks,1.0,150.0,2024
2023-10-19,Arizona Coyotes,6.0,St. Louis Blues,2.0,155.0,2024
2023-10-19,Vancouver Canucks,3.0,Tampa Bay Lightning,4.0,152.0,2024
2023-10-19,Vegas Golden Knights,5.0,Winnipeg Jets,3.0,138.0,2024
2023-10-20,Calgary Flames,1.0,Columbus Blue Jackets,3.0,145.0,2024
2023-10-20,New Jersey Devils,5.0,New York Islanders,4.0,153.0,2024
2023-10-21,Anaheim Ducks,1.0,Arizona Coyotes,2.0,150.0,2024
2023-10-21,New York Islanders,1.0,Buffalo Sabres,3.0,147.0,2024
2023-10-21,Vegas Golden Knights,5.0,Chicago Blackhawks,3.0,147.0,2024
2023-10-21,Carolina Hurricanes,4.0,Colorado Avalanche,6.0,152.0,2024
2023-10-21,Philadelphia Flyers,4.0,Dallas Stars,5.0,154.0,2024
2023-10-21,Winnipeg Jets,3.0,Edmonton Oilers,2.0,160.0,2024
2023-10-21,Vancouver Canucks,5.0,Florida Panthers,3.0,144.0,2024
2023-10-21,Boston Bruins,4.0,Los Angeles Kings,2.0,164.0,2024
2023-10-21,Columbus Blue Jackets,5.0,Minnesota Wild,4.0,159.0,2024
2023-10-21,Washington Capitals,2.0,Montreal Canadiens,3.0,151.0,2024
2023-10-21,San Jose Sharks,1.0,Nashville Predators,5.0,148.0,2024
2023-10-21,Detroit Red Wings,5.0,Ottawa Senators,2.0,151.0,2024
2023-10-21,New York Rangers,4.0,Seattle Kraken,1.0,158.0,2024
2023-10-21,Pittsburgh Penguins,2.0,St. Louis Blues,4.0,141.0,2024
2023-10-21,Toronto Maple Leafs,4.0,Tampa Bay Lightning,3.0,155.0,2024
2023-10-22,Boston Bruins,3.0,Anaheim Ducks,1.0,146.0,2024
2023-10-22,Calgary Flames,2.0,Detroit Red Wings,6.0,146.0,2024
2023-10-23,Montreal Canadiens,3.0,Buffalo Sabres,1.0,142.0,2024
2023-10-24,Anaheim Ducks,3.0,Columbus Blue Jackets,2.0,148.0,2024
2023-10-24,New York Rangers,3.0,Calgary Flames,1.0,145.0,2024
2023-10-24,Boston Bruins,3.0,Chicago Blackhawks,0.0,156.0,2024
2023-10-24,Seattle Kraken,5.0,Detroit Red Wings,4.0,160.0,2024
2023-10-24,San Jose Sharks,1.0,Florida Panthers,3.0,144.0,2024
2023-10-24,Arizona Coyotes,3.0,Los Angeles Kings,6.0,162.0,2024
2023-10-24,Edmonton Oilers,4.0,Minnesota Wild,7.0,150.0,2024
2023-10-24,New Jersey Devils,5.0,Montreal Canadiens,2.0,152.0,2024
2023-10-24,Vancouver Canucks,3.0,Nashville Predators,2.0,137.0,2024
2023-10-24,Colorado Avalanche,7.0,New York Islanders,4.0,151.0,2024
2023-10-24,Buffalo Sabres,6.0,Ottawa Senators,4.0,158.0,2024
2023-10-24,Dallas Stars,4.0,Pittsburgh Penguins,1.0,149.0,2024
2023-10-24,Carolina Hurricanes,0.0,Tampa Bay Lightning,3.0,147.0,2024
2023-10-24,Philadelphia Flyers,2.0,Vegas Golden Knights,3.0,151.0,2024
2023-10-24,St. Louis Blues,2.0,Winnipeg Jets,4.0,141.0,2024
2023-10-24,Toronto Maple Leafs,4.0,Washington Capitals,1.0,140.0,2024
2023-10-25,Washington Capitals,6.0,New Jersey Devils,4.0,143.0,2024
2023-10-26,Anaheim Ducks,4.0,Boston Bruins,3.0,164.0,2024
2023-10-26,Seattle Kraken,2.0,Carolina Hurricanes,3.0,158.0,2024
2023-10-26,St. Louis Blues,3.0,Calgary Flames,0.0,146.0,2024
2023-10-26,Toronto Maple Leafs,4.0,Dallas Stars,1.0,141.0,2024
2023-10-26,Winnipeg Jets,4.0,Detroit Red Wings,1.0,145.0,2024
2023-10-26,New York Rangers,3.0,Edmonton Oilers,0.0,146.0,2024
2023-10-26,Columbus Blue Jackets,3.0,Montreal Canadiens,4.0,155.0,2024
2023-10-26,Ottawa Senators,2.0,New York Islanders,3.0,157.0,2024
2023-10-26,Minnesota Wild,2.0,Philadelphia Flyers,6.0,150.0,2024
2023-10-26,Colorado Avalanche,0.0,Pittsburgh Penguins,4.0,146.0,2024
2023-10-26,San Jose Sharks,0.0,Tampa Bay Lightning,6.0,143.0,2024
2023-10-27,Los Angeles Kings,5.0,Arizona Coyotes,4.0,157.0,2024
2023-10-27,San Jose Sharks,0.0,Carolina Hurricanes,3.0,157.0,2024
2023-10-27,Buffalo Sabres,4.0,New Jersey Devils,5.0,150.0,2024
2023-10-27,St. Louis Blues,0.0,Vancouver Canucks,5.0,143.0,2024
2023-10-27,Chicago Blackhawks,4.0,Vegas Golden Knights,3.0,147.0,2024
2023-10-27,Minnesota Wild,2.0,Washington Capitals,3.0,165.0,2024
2023-10-28,Detroit Red Wings,1.0,Boston Bruins,4.0,145.0,2024
2023-10-28,New York Islanders,2.0,Columbus Blue Jackets,0.0,133.0,2024
2023-10-28,Seattle Kraken,2.0,Florida Panthers,3.0,153.0,2024
2023-10-28,Vegas Golden Knights,4.0,Los Angeles Kings,3.0,158.0,2024
2023-10-28,Winnipeg Jets,3.0,Montreal Canadiens,4.0,161.0,2024
2023-10-28,Toronto Maple Leafs,2.0,Nashville Predators,3.0,151.0,2024
2023-10-28,Anaheim Ducks,7.0,Philadelphia Flyers,4.0,153.0,2024
2023-10-28,Ottawa Senators,5.0,Pittsburgh Penguins,2.0,149.0,2024
2023-10-28,New York Rangers,4.0,Vancouver Canucks,3.0,151.0,2024
2023-10-29,Colorado Avalanche,0.0,Buffalo Sabres,4.0,145.0,2024
2023-10-29,Calgary Flames,2.0,Edmonton Oilers,5.0,157.0,2024
2023-10-29,Minnesota Wild,3.0,New Jersey Devils,4.0,145.0,2024
2023-10-29,San Jose Sharks,1.0,Washington Capitals,3.0,146.0,2024
2023-10-30,Chicago Blackhawks,1.0,Arizona Coyotes,8.0,151.0,2024
2023-10-30,Florida Panthers,2.0,Boston Bruins,3.0,156.0,2024
2023-10-30,Columbus Blue Jackets,3.0,Dallas Stars,5.0,142.0,2024
2023-10-30,Detroit Red Wings,4.0,New York Islanders,3.0,155.0,2024
2023-10-30,Carolina Hurricanes,3.0,Philadelphia Flyers,2.0,147.0,2024
2023-10-30,Anaheim Ducks,4.0,Pittsburgh Penguins,3.0,154.0,2024
2023-10-30,Seattle Kraken,4.0,Tampa Bay Lightning,3.0,150.0,2024
2023-10-30,Montreal Canadiens,2.0,Vegas Golden Knights,3.0,163.0,2024
2023-10-30,New York Rangers,3.0,Winnipeg Jets,2.0,149.0,2024
2023-10-31,Los Angeles Kings,4.0,Toronto Maple Leafs,1.0,140.0,2024
2023-10-31,Nashville Predators,2.0,Vancouver Canucks,5.0,143.0,2024
2023-11-01,Arizona Coyotes,3.0,Anaheim Ducks,4.0,157.0,2024
2023-11-01,Dallas Stars,4.0,Calgary Flames,3.0,152.0,2024
2023-11-01,St. Louis Blues,1.0,Colorado Avalanche,4.0,151.0,2024
2023-11-01,Buffalo Sabres,5.0,Philadelphia Flyers,2.0,150.0,2024
2023-11-02,Montreal Canadiens,2.0,Arizona Coyotes,3.0,153.0,2024
2023-11-02,Toronto Maple Leafs,2.0,Boston Bruins,3.0,156.0,2024
2023-11-02,Tampa Bay Lightning,2.0,Columbus Blue Jackets,4.0,152.0,2024
2023-11-02,Florida Panthers,2.0,Detroit Red Wings,0.0,147.0,2024
2023-11-02,Dallas Stars,4.0,Edmonton Oilers,3.0,152.0,2024
2023-11-02,New Jersey Devils,5.0,Minnesota Wild,3.0,144.0,2024
2023-11-02,Carolina Hurricanes,1.0,New York Rangers,2.0,151.0,2024
2023-11-02,Los Angeles Kings,3.0,Ottawa Senators,2.0,144.0,2024
2023-11-02,Nashville Predators,2.0,Seattle Kraken,4.0,144.0,2024
2023-11-02,Vancouver Canucks,10.0,San Jose Sharks,1.0,152.0,2024
2023-11-02,Winnipeg Jets,2.0,Vegas Golden Knights,5.0,147.0,2024
2023-11-02,New York Islanders,3.0,Washington Capitals,0.0,143.0,2024
2023-11-03,Philadelphia Flyers,5.0,Buffalo Sabres,1.0,132.0,2024
2023-11-03,New Jersey Devils,1.0,St. Louis Blues,4.0,144.0,2024
2023-11-04,Winnipeg Jets,5.0,Arizona Coyotes,3.0,139.0,2024
2023-11-04,Florida Panthers,2.0,Chicago Blackhawks,5.0,142.0,2024
2023-11-04,Boston Bruins,4.0,Detroit Red Wings,5.0,160.0,2024
2023-11-04,Nashville Predators,5.0,Edmonton Oilers,2.0,148.0,2024
2023-11-04,New York Rangers,4.0,Minnesota Wild,5.0,158.0,2024
2023-11-04,Carolina Hurricanes,4.0,New York Islanders,3.0,151.0,2024
2023-11-04,Tampa Bay Lightning,6.0,Ottawa Senators,4.0,156.0,2024
2023-11-04,Los Angeles Kings,5.0,Philadelphia Flyers,0.0,144.0,2024
2023-11-04,Calgary Flames,6.0,Seattle Kraken,3.0,139.0,2024
2023-11-04,Pittsburgh Penguins,10.0,San Jose Sharks,2.0,148.0,2024
2023-11-04,Montreal Canadiens,3.0,St. Louis Blues,6.0,149.0,2024
2023-11-04,Buffalo Sabres,6.0,Toronto Maple Leafs,4.0,148.0,2024
2023-11-04,Dallas Stars,0.0,Vancouver Canucks,2.0,145.0,2024
2023-11-04,Colorado Avalanche,0.0,Vegas Golden Knights,7.0,160.0,2024
2023-11-04,Columbus Blue Jackets,1.0,Washington Capitals,2.0,150.0,2024
2023-11-05,Vegas Golden Knights,2.0,Anaheim Ducks,4.0,142.0,2024
2023-11-05,New Jersey Devils,4.0,Chicago Blackhawks,2.0,151.0,2024
2023-11-06,Boston Bruins,3.0,Dallas Stars,2.0,157.0,2024
2023-11-06,Columbus Blue Jackets,4.0,Florida Panthers,5.0,147.0,2024
